"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"565","Las categorías en que quiero ver ganar a #LaLaLand son: Mejor Película, Actriz, Director y Canción. #Oscars",FALSE,0,NA,2017-02-27 02:32:48,FALSE,NA,"836041364903235585",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","cindysa03",0,FALSE,FALSE,NA,NA
"566","RT @endrygomez: No quiero La la land como mejor película #Oscars",FALSE,0,NA,2017-02-27 02:32:43,FALSE,NA,"836041343499632641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeilinl",2,TRUE,FALSE,NA,NA
"567","RT @HypnosMorfeo: Siempre considere los Oscars como la fiesta de las peliculas sobre valoradas, pero espero que gane Arrival como mejor pel…",FALSE,0,NA,2017-02-27 02:32:34,FALSE,NA,"836041302777151489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iam_Fucking_",7,TRUE,FALSE,NA,NA
"568","Aunque solo gane el #Oscars por edición de sonido, #Arrival sigue siendo para mí, la mejor película en contienda.",FALSE,1,NA,2017-02-27 02:32:24,FALSE,NA,"836041262876631040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ArielRodolfo",0,FALSE,FALSE,NA,NA
"569","Tengo mucha esperanza de que #LaLaLand no gane a mejor película #Oscars",FALSE,0,NA,2017-02-27 02:32:04,FALSE,NA,"836041178244055041",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ojosderockaleta",0,FALSE,FALSE,NA,NA
"570","RT @HypnosMorfeo: Siempre considere los Oscars como la fiesta de las peliculas sobre valoradas, pero espero que gane Arrival como mejor pel…",FALSE,0,NA,2017-02-27 02:32:02,FALSE,NA,"836041169532395520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Medu28",7,TRUE,FALSE,NA,NA
"571","Siempre considere los Oscars como la fiesta de las peliculas sobre valoradas, pero espero que gane Arrival como mejor pelicula :')",FALSE,86,NA,2017-02-27 02:31:27,FALSE,NA,"836041024342470657",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HypnosMorfeo",7,FALSE,FALSE,NA,NA
"572","RT @reclu: Mejor película: Quiero que gane Manchester By The Sea; va a ganar La La Land #Oscars2017",FALSE,0,NA,2017-02-27 02:30:58,FALSE,NA,"836040899847155715",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mix1065mx",20,TRUE,FALSE,NA,NA
"573","Que gane Hacksaw Ridge como mejor película #Oscars #Oscar2017 @TNTLA",FALSE,2,NA,2017-02-27 02:29:16,FALSE,NA,"836040474053984256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","davidsancheza",0,FALSE,FALSE,NA,NA
"574","Algo aburridos este año los #Oscars2017. Bueno que ni gane #LaLaLandMovie mejor película, ni las actuaciones protagonicas",FALSE,1,NA,2017-02-27 02:28:41,FALSE,NA,"836040326871662592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Engels_SS",0,FALSE,FALSE,NA,NA
